Wavelength (nm),Counts
339.619,-50.73
340,-50.73
340.381,-50.73
340.762,-102.85
341.143,-60.66
341.524,-95.41
341.904,-33.35
342.285,-90.44
342.666,-110.3
343.046,-70.58
343.427,-33.35
343.807,-95.41
344.188,18.77
344.568,33.66
344.949,13.81
345.329,8.84
345.71,36.15
346.09,28.7
346.47,165.22
346.85,150.32
347.23,73.38
347.611,182.59
347.991,202.45
348.371,286.84
348.751,324.07
349.131,363.78
349.511,448.17
349.891,468.03
350.27,425.84
350.65,396.05
351.03,520.16
351.41,572.28
351.79,512.71
352.169,460.59
352.549,564.83
352.928,567.32
353.308,584.69
353.687,584.69
354.067,537.53
354.446,510.23
354.826,542.49
355.205,589.65
355.584,599.58
355.964,607.03
356.343,572.28
356.722,510.23
357.101,448.17
357.48,527.6
357.859,567.32
358.238,510.23
358.617,562.35
358.996,547.46
359.375,542.49
359.754,532.57
360.133,582.21
360.512,525.12
360.891,562.35
361.269,589.65
361.648,500.3
362.027,525.12
362.405,505.26
362.784,549.94
363.162,602.07
363.541,473
363.919,525.12
364.298,520.16
364.676,487.89
365.054,505.26
365.433,485.41
365.811,599.58
366.189,532.57
366.567,562.35
366.945,579.73
367.323,535.05
367.701,557.39
368.079,465.55
368.457,549.94
368.835,602.07
369.213,574.76
369.591,527.6
369.969,540.01
370.346,542.49
370.724,559.87
371.102,564.83
371.479,602.07
371.857,473
372.235,579.73
372.612,587.17
372.99,490.37
373.367,475.48
373.744,599.58
374.122,582.21
374.499,592.14
374.876,492.85
375.254,495.33
375.631,492.85
376.008,500.3
376.385,559.87
376.762,599.58
377.139,599.58
377.516,525.12
377.893,582.21
378.27,567.32
378.647,611.99
379.024,582.21
379.4,559.87
379.777,564.83
380.154,507.75
380.53,549.94
380.907,579.73
381.284,577.24
381.66,569.8
382.037,592.14
382.413,497.82
382.79,592.14
383.166,577.24
383.542,611.99
383.919,564.83
384.295,666.6
384.671,530.08
385.047,636.81
385.423,515.19
385.799,530.08
386.176,537.53
386.552,681.49
386.928,592.14
387.303,475.48
387.679,611.99
388.055,621.92
388.431,549.94
388.807,634.33
389.183,639.3
389.558,644.26
389.934,584.69
390.309,666.6
390.685,644.26
391.061,676.53
391.436,599.58
391.811,639.3
392.187,602.07
392.562,574.76
392.938,696.39
