Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-1.0026,-0.271425,-1.0026,-0.283725,-1.0026,-0.27895000000000003,-1.0026,-0.26497499999999996,-1.0026,-0.2651,-1.0026,-0.29745,-1.0026,-0.250425,-1.0025,-0.23713
-0.98258,-0.259325,-0.98259,-0.3122,-0.98259,-0.26257499999999995,-0.98262,-0.267625,-0.98261,-0.2333075,-0.98261,-0.29484999999999995,-0.98259,-0.271875,-0.98257,-0.24599000000000001
-0.96244,-0.26272500000000004,-0.96243,-0.29525,-0.96245,-0.272475,-0.96246,-0.2599,-0.96246,-0.277075,-0.96245,-0.238265,-0.96249,-0.26257499999999995,-0.96242,-0.2418275
-0.9425,-0.319175,-0.9425,-0.262375,-0.94252,-0.2862,-0.94251,-0.239785,-0.9425,-0.22193749999999998,-0.94248,-0.252425,-0.94251,-0.24347499999999997,-0.94247,-0.23622500000000002
-0.92235,-0.27599999999999997,-0.92237,-0.2926,-0.92238,-0.2470875,-0.92239,-0.22463500000000003,-0.92232,-0.24874000000000002,-0.92234,-0.26225,-0.92234,-0.25915,-0.92233,-0.2702
-0.90269,-0.3066,-0.9027,-0.30045,-0.90271,-0.27275000000000005,-0.90272,-0.22840250000000004,-0.90273,-0.254975,-0.9027,-0.26687500000000003,-0.90272,-0.24916,-0.90267,-0.3114
-0.88264,-0.285425,-0.88262,-0.288075,-0.88264,-0.285425,-0.88264,-0.22259,-0.8826,-0.245865,-0.88258,-0.30085,-0.88257,-0.223025,-0.88258,-0.31177499999999997
-0.86264,-0.28864999999999996,-0.86264,-0.27899999999999997,-0.86261,-0.26257499999999995,-0.86268,-0.23870000000000002,-0.86267,-0.25255,-0.86265,-0.253475,-0.86262,-0.24564999999999998,-0.86261,-0.287425
-0.84257,-0.28517499999999996,-0.84258,-0.32202499999999995,-0.84256,-0.29225,-0.84257,-0.23835749999999997,-0.84261,-0.30010000000000003,-0.84252,-0.2397925,-0.84253,-0.2572,-0.84251,-0.254375
-0.82254,-0.28700000000000003,-0.82256,-0.29819999999999997,-0.82255,-0.29347500000000004,-0.82256,-0.22759,-0.82255,-0.2385775,-0.82256,-0.26255,-0.82253,-0.252,-0.82254,-0.25915
-0.80251,-0.32707499999999995,-0.80252,-0.28600000000000003,-0.80256,-0.27105,-0.80253,-0.255075,-0.8025,-0.24639750000000002,-0.80253,-0.24874000000000002,-0.80249,-0.2489575,-0.80249,-0.25052499999999994
-0.78247,-0.2744,-0.7825,-0.29585,-0.78246,-0.305425,-0.78248,-0.309925,-0.78246,-0.259525,-0.78248,-0.27397499999999997,-0.78241,-0.267675,-0.78245,-0.241015
-0.76243,-0.26454999999999995,-0.76248,-0.321575,-0.76249,-0.2774,-0.76248,-0.24440249999999997,-0.76244,-0.24752999999999997,-0.76246,-0.27704999999999996,-0.76241,-0.26832500000000004,-0.76243,-0.229945
-0.74238,-0.27585,-0.74239,-0.216225,-0.74242,-0.33054999999999995,-0.74239,-0.24957500000000002,-0.7424,-0.22964250000000003,-0.74238,-0.25170000000000003,-0.74238,-0.251575,-0.74236,-0.2121
-0.72235,-0.26282500000000003,-0.7224,-0.25639999999999996,-0.7224,-0.270375,-0.72234,-0.270325,-0.72237,-0.28262499999999996,-0.72234,-0.26477500000000004,-0.72236,-0.25144999999999995,-0.72235,-0.29145
