Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10186,0.006810756972111554,-0.10188,0.006721314741035857,-0.10188,0.006416334661354582,-0.10189,0.005647808764940239,-0.10188,0.006546414342629482,-0.10187,0.007713545816733067,-0.10187,0.005806374501992032,-0.10189,0.003529282868525896
-0.081899,0.0053575697211155375,-0.081979,0.007931872509960159,-0.081941,0.006703585657370517,-0.081922,0.006601792828685258,-0.081933,0.007773107569721115,-0.081919,0.004926494023904382,-0.081957,0.002844621513944223,-0.081926,0.005654382470119522
-0.061811,0.004371314741035856,-0.06183,0.004855378486055777,-0.061835,0.005607768924302789,-0.061784,0.00844183266932271,-0.06181,0.009023306772908368,-0.061807,0.0029685258964143426,-0.061846,0.0038021912350597606,-0.061845,0.000837828685258964
-0.041798,0.005524501992031873,-0.0418,0.006602191235059761,-0.0418,0.0061874501992031875,-0.041772,0.009737250996015936,-0.041808,0.005463545816733067,-0.041787,0.005679083665338645,-0.04179,0.0036539840637450196,-0.041806,0.0032434262948207167
-0.021622,0.00674223107569721,-0.021622,0.007929482071713147,-0.021617,0.009092629482071714,-0.021613,0.005981673306772908,-0.021638,0.007575896414342628,-0.021609,0.0029603585657370516,-0.021628,0.005083067729083665,-0.021614,0.0024601593625498005
-0.0015442,0.004678486055776893,-0.0015436,0.0070085657370517924,-0.0015104,0.005869920318725099,-0.0015458,0.005011952191235059,-0.0015565,0.005752191235059761,-0.001541,0.005292629482071713,-0.0015726,0.004210956175298804,-0.0015562,0.0026820717131474103
0.018647,0.005091035856573705,0.018621,0.0046559760956175296,0.018673,0.002846215139442231,0.018651,0.0062782868525896405,0.018608,0.006904780876494024,0.018616,0.003826494023904382,0.01863,0.004350996015936254,0.018676,0.0065019920318725105
0.038333,0.006359163346613545,0.038314,0.006363346613545816,0.038327,0.006338844621513943,0.038286,0.00860398406374502,0.038288,0.008677091633466135,0.03829,0.006119322709163346,0.038325,0.005602788844621514,0.038316,0.005545816733067728
0.058404,0.006788247011952191,0.058391,0.006702988047808765,0.058425,0.006995617529880477,0.058432,0.00848386454183267,0.058388,0.005137250996015936,0.058436,0.0031527888446215135,0.058441,0.0055601593625498,0.05841,0.006056374501992032
0.07841,0.0059,0.078373,0.008400996015936255,0.078417,0.007006175298804781,0.07839,0.00491613545816733,0.078367,0.005855577689243028,0.078402,0.006908565737051793,0.07838,0.004493227091633466,0.078388,0.0024314741035856573
0.098488,0.0071994023904382465,0.098487,0.003840438247011952,0.098495,0.006520318725099601,0.098448,0.006121912350597609,0.098448,0.008504780876494023,0.0985,0.007589641434262948,0.09847,0.003795816733067729,0.09847,0.003218525896414343
0.11851,0.0032695219123505975,0.1185,0.006860159362549801,0.11845,0.0026758964143426297,0.11845,0.0062177290836653385,0.11848,0.004778286852589641,0.11851,0.003590637450199203,0.11851,0.005091235059760957,0.11849,0.0029278884462151395
0.13855,0.004316733067729083,0.13854,0.006341832669322709,0.13848,0.004195019920318725,0.13854,0.007293426294820717,0.13852,0.006630677290836653,0.13853,0.003194621513944223,0.13853,0.004003784860557769,0.13852,0.002873306772908366
0.15861,0.0034284860557768923,0.1586,0.0077145418326693225,0.15862,0.00622609561752988,0.15861,0.005896812749003984,0.15859,0.004786653386454183,0.15861,0.005372111553784861,0.1586,0.004863944223107569,0.15861,0.00291195219123506
