Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10141,-7.908964143426294,-0.10141,-7.90996015936255,-0.1014,-7.909561752988048,-0.10143,-7.90597609561753,-0.10143,-7.9069721115537845,-0.10144,-7.904581673306772,-0.10143,-7.909362549800796,-0.10144,-7.905577689243029
-0.081485,-7.908764940239044,-0.08146,-7.907370517928287,-0.081513,-7.9063745019920315,-0.081462,-7.908565737051792,-0.08148,-7.9075697211155385,-0.081503,-7.90597609561753,-0.08149,-7.907171314741035,-0.081476,-7.904980079681274
-0.061354,-7.909362549800796,-0.06135,-7.9075697211155385,-0.061353,-7.909163346613545,-0.061358,-7.906573705179282,-0.061363,-7.903585657370518,-0.061345,-7.908167330677291,-0.061395,-7.906772908366533,-0.061403,-7.90398406374502
-0.04134,-7.91195219123506,-0.041318,-7.908366533864542,-0.041359,-7.908964143426294,-0.041328,-7.910756972111553,-0.041346,-7.905378486055778,-0.041365,-7.908167330677291,-0.041359,-7.909163346613545,-0.04136,-7.905577689243029
-0.021154,-7.9101593625498,-0.021138,-7.9075697211155385,-0.021182,-7.90996015936255,-0.021162,-7.909561752988048,-0.021169,-7.907370517928287,-0.021159,-7.90597609561753,-0.021171,-7.9075697211155385,-0.021175,-7.904780876494024
-0.0011237,-7.9075697211155385,-0.0010803,-7.908565737051792,-0.0011323,-7.906175298804781,-0.0011005,-7.911354581673306,-0.0011284,-7.902988047808764,-0.0011452,-7.903585657370518,-0.0011419,-7.904980079681274,-0.0011566,-7.901593625498008
0.019109,-7.9115537848605575,0.019082,-7.9069721115537845,0.019049,-7.907370517928287,0.019074,-7.908565737051792,0.019085,-7.904980079681274,0.019051,-7.904382470119521,0.019055,-7.90597609561753,0.01903,-7.903386454183267
0.038788,-7.9069721115537845,0.038768,-7.9063745019920315,0.0387,-7.904780876494024,0.038738,-7.905577689243029,0.038752,-7.906175298804781,0.038741,-7.9057768924302785,0.038735,-7.905577689243029,0.038725,-7.9017928286852595
0.058888,-7.9057768924302785,0.058897,-7.906772908366533,0.058837,-7.903585657370518,0.058861,-7.90597609561753,0.058847,-7.904581673306772,0.058843,-7.907370517928287,0.058879,-7.90597609561753,0.058801,-7.903585657370518
0.078881,-7.9075697211155385,0.078853,-7.907171314741035,0.078832,-7.909362549800796,0.078816,-7.905577689243029,0.078834,-7.903585657370518,0.078783,-7.904780876494024,0.078821,-7.90418326693227,0.078832,-7.904382470119521
0.098922,-7.906573705179282,0.098951,-7.906175298804781,0.098884,-7.9075697211155385,0.098912,-7.9075697211155385,0.098915,-7.905378486055778,0.098899,-7.903187250996017,0.098897,-7.90398406374502,0.098913,-7.901992031872509
0.11896,-7.909163346613545,0.11899,-7.9057768924302785,0.11892,-7.9051792828685254,0.11892,-7.90597609561753,0.11895,-7.905378486055778,0.11891,-7.904780876494024,0.11893,-7.904581673306772,0.11889,-7.903784860557769
0.139,-7.908764940239044,0.13901,-7.9057768924302785,0.13898,-7.905378486055778,0.13898,-7.90418326693227,0.13898,-7.9057768924302785,0.13896,-7.90418326693227,0.13897,-7.90418326693227,0.13897,-7.9057768924302785
0.15909,-7.9075697211155385,0.15905,-7.904581673306772,0.15904,-7.90398406374502,0.15905,-7.905577689243029,0.15903,-7.902788844621513,0.15901,-7.903585657370518,0.15903,-7.905577689243029,0.15902,-7.900796812749003
