Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.1017,-1.5647410358565736,-0.10174,-1.5589043824701196,-0.1017,-1.5646414342629482,-0.10174,-1.562191235059761,-0.10175,-1.5679482071713147,-0.10173,-1.5649402390438245,-0.10173,-1.5639043824701193,-0.10174,-1.5679880478087649
-0.081741,-1.5644223107569721,-0.081771,-1.5605179282868524,-0.081771,-1.5641633466135458,-0.081788,-1.5660159362549801,-0.081797,-1.5663745019920319,-0.081802,-1.5646812749003984,-0.081804,-1.5656972111553784,-0.081788,-1.5646812749003984
-0.061626,-1.5652788844621515,-0.061686,-1.5620916334661354,-0.061656,-1.5652390438247012,-0.061664,-1.567808764940239,-0.061694,-1.5686254980079684,-0.06169,-1.5642031872509958,-0.06168,-1.5663745019920319,-0.061708,-1.5697011952191235
-0.041609,-1.563844621513944,-0.041637,-1.5631872509960159,-0.041615,-1.5601394422310757,-0.041669,-1.5685258964143425,-0.041694,-1.5710358565737053,-0.041664,-1.5653386454183267,-0.04164,-1.5659561752988047,-0.041666,-1.5679083665338645
-0.02144,-1.5613147410358565,-0.021478,-1.5610557768924302,-0.02144,-1.5590637450199203,-0.021506,-1.5655577689243025,-0.021504,-1.564003984063745,-0.021481,-1.5641035856573702,-0.021489,-1.5626693227091633,-0.021496,-1.5688645418326694
-0.0013622,-1.562250996015936,-0.0013952,-1.5603386454183266,-0.0013697,-1.5609760956175298,-0.0013949,-1.567589641434263,-0.0014291,-1.564362549800797,-0.0013924,-1.564223107569721,-0.0014177,-1.5647609561752986,-0.0014303,-1.56800796812749
0.0188,-1.5630079681274898,0.018791,-1.5642828685258963,0.018779,-1.5624701195219124,0.01875,-1.5679681274900399,0.018751,-1.5646613545816734,0.018733,-1.5658964143426293,0.018745,-1.5629681274900398,0.018742,-1.5653585657370517
0.038441,-1.563585657370518,0.038456,-1.5612948207171315,0.038489,-1.5650199203187252,0.038461,-1.5618725099601591,0.038439,-1.564183266932271,0.038426,-1.5640836653386452,0.038423,-1.5667131474103584,0.038427,-1.563804780876494
0.05857,-1.5640239043824702,0.058572,-1.5609561752988048,0.058589,-1.5637450199203187,0.05857,-1.565398406374502,0.058546,-1.5672908366533864,0.058557,-1.5672908366533864,0.058514,-1.5621713147410359,0.05856,-1.563645418326693
0.07852,-1.562589641434263,0.078575,-1.559980079681275,0.078564,-1.5631274900398406,0.078529,-1.5652589641434265,0.078492,-1.564362549800797,0.078499,-1.5656972111553784,0.078503,-1.5646812749003984,0.078511,-1.5641035856573702
0.098629,-1.5601195219123505,0.098648,-1.5567928286852588,0.098647,-1.561653386454183,0.098584,-1.5640438247011952,0.098598,-1.5653386454183267,0.098609,-1.5659163346613547,0.0986,-1.5654183266932271,0.098624,-1.5681673306772907
0.11861,-1.5654780876494023,0.11866,-1.5644820717131473,0.11868,-1.562390438247012,0.11865,-1.5682270916334662,0.11862,-1.5633466135458165,0.11862,-1.5627689243027887,0.11862,-1.5633665338645417,0.11865,-1.5653585657370517
0.13868,-1.5613545816733068,0.13868,-1.5635258964143426,0.13869,-1.5657370517928286,0.1387,-1.561653386454183,0.13866,-1.5632270916334658,0.13866,-1.563406374501992,0.13866,-1.5637848605577689,0.1387,-1.5654780876494023
0.15875,-1.5645617529880478,0.15877,-1.5687450199203188,0.15876,-1.5615737051792828,0.15877,-1.5612350597609561,0.15874,-1.564003984063745,0.15872,-1.5642031872509958,0.15874,-1.5630278884462152,0.15874,-1.5578087649402388
