Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10182,-0.029667330677290837,-0.10176,-0.03035458167330677,-0.10178,-0.027645418326693226,-0.10178,-0.02605179282868526,-0.10177,-0.0250996015936255,-0.10177,-0.02813346613545817,-0.10182,-0.026910358565737053,-0.10177,-0.02587250996015936
-0.081858,-0.026003984063745017,-0.081845,-0.030392430278884462,-0.081855,-0.026882470119521912,-0.081837,-0.03169322709163347,-0.081839,-0.02851394422310757,-0.081866,-0.024593625498007966,-0.08185,-0.027065737051792826,-0.081851,-0.02751394422310757
-0.061741,-0.026165338645418326,-0.061749,-0.02527888446215139,-0.061723,-0.027001992031872507,-0.061738,-0.026302788844621512,-0.061719,-0.026278884462151392,-0.061748,-0.024302788844621514,-0.061747,-0.027434262948207166,-0.06177,-0.02405378486055777
-0.041692,-0.024063745019920316,-0.041707,-0.025894422310756973,-0.041687,-0.025894422310756973,-0.041683,-0.02606175298804781,-0.04168,-0.027671314741035853,-0.041695,-0.024446215139442232,-0.04168,-0.02593824701195219,-0.041712,-0.024617529880478085
-0.021528,-0.03098406374501992,-0.021535,-0.0260597609561753,-0.021531,-0.026243027888446215,-0.021529,-0.026908366533864542,-0.021496,-0.02549800796812749,-0.021523,-0.025739043824701196,-0.021555,-0.02647808764940239,-0.021518,-0.02594621513944223
-0.0014703,-0.0250398406374502,-0.0014247,-0.025976095617529876,-0.0014636,-0.0265,-0.0014596,-0.026631474103585656,-0.0014402,-0.026822709163346614,-0.0014634,-0.02442629482071713,-0.00147,-0.02752988047808765,-0.0014481,-0.0255
0.018713,-0.031113545816733066,0.018716,-0.02653187250996016,0.018721,-0.032260956175298804,0.018722,-0.02987848605577689,0.018697,-0.026157370517928286,0.018711,-0.023721115537848607,0.018749,-0.026599601593625496,0.018698,-0.025185258964143423
0.038351,-0.02874701195219123,0.038375,-0.026543824701195217,0.038345,-0.026352589641434266,0.038398,-0.02589641434262948,0.038389,-0.02491633466135458,0.038354,-0.02551593625498008,0.038403,-0.026372509960159364,0.038363,-0.02500597609561753
0.058477,-0.02530876494023904,0.058504,-0.026229083665338646,0.058484,-0.026334661354581672,0.05851,-0.027107569721115533,0.058512,-0.02567131474103586,0.058516,-0.025175298804780876,0.058501,-0.026826693227091632,0.058501,-0.02594820717131474
0.078462,-0.02771513944223107,0.078472,-0.02691434262948207,0.07848,-0.02648207171314741,0.078501,-0.02442430278884462,0.078487,-0.02681673306772908,0.078456,-0.024326693227091634,0.07849,-0.02604382470119522,0.078445,-0.027294820717131473
0.098574,-0.02596812749003984,0.098591,-0.027041832669322707,0.098566,-0.02495219123505976,0.098585,-0.025631474103585655,0.098587,-0.025655378486055775,0.098543,-0.02708167330677291,0.098546,-0.025609561752988046,0.09855,-0.03103187250996016
0.11859,-0.030235059760956178,0.11859,-0.02595019920318725,0.11856,-0.02591235059760956,0.1186,-0.027219123505976096,0.1186,-0.02857569721115538,0.11858,-0.026599601593625496,0.11857,-0.03152788844621514,0.11857,-0.02694223107569721
0.13865,-0.0253406374501992,0.13862,-0.029498007968127488,0.13858,-0.026272908366533863,0.13863,-0.02446613545816733,0.13862,-0.025854581673306773,0.13861,-0.026300796812749005,0.1386,-0.030681274900398407,0.13861,-0.02607370517928287
0.15869,-0.024888446215139443,0.15867,-0.027615537848605577,0.15868,-0.026705179282868523,0.15868,-0.03003187250996016,0.15871,-0.027864541832669322,0.15865,-0.02358964143426295,0.1587,-0.02827091633466135,0.15869,-0.030699203187250994
