Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10141,-8.107768924302789,-0.10137,-8.107370517928286,-0.10141,-8.102589641434262,-0.10145,-8.103386454183267,-0.10144,-8.105378486055777,-0.10141,-8.103784860557768,-0.10141,-8.101593625498008,-0.10139,-8.103187250996015
-0.081446,-8.105378486055777,-0.081421,-8.104382470119521,-0.081448,-8.103784860557768,-0.081482,-8.101992031872511,-0.081479,-8.106374501992033,-0.08147,-8.103784860557768,-0.081442,-8.102988047808765,-0.081481,-8.101394422310758
-0.06134,-8.105378486055777,-0.061338,-8.103187250996015,-0.061332,-8.103585657370518,-0.061385,-8.10398406374502,-0.06137,-8.101593625498008,-0.061369,-8.104382470119521,-0.061358,-8.100597609561753,-0.061352,-8.1
-0.041331,-8.106772908366533,-0.041326,-8.106772908366533,-0.04131,-8.102589641434262,-0.041356,-8.10597609561753,-0.041333,-8.100597609561753,-0.041338,-8.10398406374502,-0.041322,-8.099003984063744,-0.041346,-8.103187250996015
-0.021177,-8.105776892430278,-0.021113,-8.10418326693227,-0.021162,-8.104581673306772,-0.021182,-8.10557768924303,-0.021177,-8.103386454183267,-0.02117,-8.100597609561753,-0.021167,-8.099203187250996,-0.021174,-8.099003984063744
-0.0010862,-8.105378486055777,-0.0010909,-8.103386454183267,-0.001097,-8.104382470119521,-0.0011089,-8.103585657370518,-0.0011228,-8.10219123505976,-0.0010862,-8.102988047808765,-0.0010941,-8.09820717131474,-0.0011284,-8.102390438247012
0.019081,-8.105179282868525,0.019079,-8.103187250996015,0.019081,-8.102390438247012,0.019092,-8.103187250996015,0.01906,-8.103386454183267,0.019102,-8.101394422310758,0.019082,-8.099402390438247,0.019057,-8.099003984063744
0.038768,-8.102988047808765,0.038774,-8.103187250996015,0.038751,-8.102589641434262,0.03878,-8.100597609561753,0.038724,-8.10418326693227,0.038771,-8.099601593625499,0.038756,-8.098804780876494,0.038754,-8.098804780876494
0.058889,-8.10418326693227,0.058907,-8.10418326693227,0.058902,-8.101195219123506,0.058869,-8.10219123505976,0.058845,-8.103386454183267,0.058886,-8.098605577689241,0.058877,-8.099203187250996,0.058843,-8.099003984063744
0.078869,-8.104780876494024,0.078864,-8.106772908366533,0.078857,-8.100597609561753,0.078821,-8.100996015936254,0.078824,-8.101195219123506,0.078867,-8.103386454183267,0.078878,-8.097808764940238,0.07885,-8.097410358565737
0.098938,-8.10418326693227,0.098935,-8.101195219123506,0.098909,-8.101992031872511,0.09894,-8.100597609561753,0.098932,-8.104581673306772,0.09896,-8.100796812749003,0.098939,-8.095219123505975,0.098907,-8.09820717131474
0.11897,-8.103187250996015,0.11895,-8.102589641434262,0.11893,-8.103187250996015,0.11894,-8.1,0.11891,-8.10219123505976,0.11897,-8.098605577689241,0.11896,-8.099203187250996,0.11893,-8.095019920318723
0.13901,-8.103187250996015,0.13899,-8.10597609561753,0.139,-8.100398406374502,0.13899,-8.102788844621514,0.13899,-8.101195219123506,0.13901,-8.098804780876494,0.13901,-8.098804780876494,0.13897,-8.096414342629481
0.15908,-8.101593625498008,0.15907,-8.101792828685259,0.15906,-8.100996015936254,0.15907,-8.10019920318725,0.15907,-8.097609561752988,0.15906,-8.09800796812749,0.15907,-8.097609561752988,0.15905,-8.094621513944222
0.17911,-8.104382470119521,0.17911,-8.101195219123506,0.17908,-8.102988047808765,0.17907,-8.099402390438247,0.17911,-8.100597609561753,0.17909,-8.099203187250996,0.17909,-8.098804780876494,0.17906,-8.096215139442231
