Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10184,-0.5767330677290836,-0.10185,-0.5764741035856573,-0.10188,-0.577191235059761,-0.10182,-0.5784262948207172,-0.10183,-0.5763545816733068,-0.10182,-0.576215139442231,-0.10183,-0.5777091633466135,-0.10185,-0.5761553784860558
-0.081904,-0.5773306772908366,-0.081904,-0.5784860557768924,-0.081909,-0.5780278884462151,-0.081909,-0.5777888446215139,-0.081887,-0.575617529880478,-0.081899,-0.5770717131474103,-0.081882,-0.5770517928286852,-0.081856,-0.5767729083665338
-0.061801,-0.5757569721115537,-0.061792,-0.5782270916334661,-0.061792,-0.5771314741035857,-0.061755,-0.5765737051792829,-0.061788,-0.5753187250996016,-0.061791,-0.5753585657370518,-0.0618,-0.5790836653386454,-0.061779,-0.5760557768924303
-0.041749,-0.5772908366533864,-0.041749,-0.5775099601593625,-0.041759,-0.5767131474103586,-0.041742,-0.5754183266932271,-0.041765,-0.5748804780876494,-0.041766,-0.5768924302788845,-0.041755,-0.5772709163346613,-0.041765,-0.5769123505976096
-0.021621,-0.5765139442231075,-0.021594,-0.5786454183266933,-0.021573,-0.5777091633466135,-0.021615,-0.5768725099601593,-0.021587,-0.5754183266932271,-0.021571,-0.5765737051792829,-0.021586,-0.5770318725099601,-0.021585,-0.5771713147410358
-0.0015055,-0.5759561752988047,-0.0015461,-0.5777888446215139,-0.0015186,-0.5763745019920319,-0.0015347,-0.577808764940239,-0.0014927,-0.575617529880478,-0.0014663,-0.5764143426294821,-0.0015068,-0.5759362549800797,-0.001549,-0.5766533864541833
0.018667,-0.5757370517928286,0.018637,-0.5785059760956175,0.018664,-0.5787051792828685,0.018652,-0.5777290836653386,0.018665,-0.5763745019920319,0.018683,-0.5773705179282869,0.018657,-0.577609561752988,0.018671,-0.576812749003984
0.03834,-0.5773306772908366,0.038335,-0.5789641434262949,0.0383,-0.5749402390438246,0.038327,-0.5774103585657371,0.038327,-0.5760956175298805,0.038358,-0.5748207171314741,0.038332,-0.5774103585657371,0.038329,-0.5775498007968127
0.058457,-0.577211155378486,0.058468,-0.5776693227091634,0.058436,-0.5768924302788845,0.058488,-0.5773107569721115,0.058448,-0.5744422310756971,0.058471,-0.5749800796812748,0.05846,-0.5777689243027888,0.058463,-0.5775498007968127
0.078435,-0.5763745019920319,0.078453,-0.5766334661354582,0.078418,-0.5760557768924303,0.078415,-0.5778884462151394,0.078447,-0.5756772908366533,0.078427,-0.5763545816733068,0.078436,-0.5774103585657371,0.078411,-0.5766334661354582
0.098506,-0.5777689243027888,0.09849,-0.578187250996016,0.098493,-0.577390438247012,0.098472,-0.576812749003984,0.098524,-0.5764143426294821,0.09851,-0.575617529880478,0.098565,-0.5781274900398407,0.098522,-0.5759760956175299
0.11855,-0.5772509960159362,0.11851,-0.5785657370517927,0.11851,-0.5777689243027888,0.11852,-0.5775498007968127,0.11855,-0.5763545816733068,0.11855,-0.5758565737051793,0.11854,-0.5779282868525896,0.11854,-0.5763545816733068
0.13859,-0.5760956175298805,0.13856,-0.578207171314741,0.13855,-0.5768725099601593,0.13855,-0.5770916334661355,0.1386,-0.5758366533864542,0.13858,-0.5752988047808766,0.13857,-0.5777689243027888,0.13855,-0.5758964143426294
0.15863,-0.5776294820717132,0.15859,-0.578605577689243,0.15862,-0.5779282868525896,0.15866,-0.5755179282868526,0.15863,-0.5740239043824701,0.15866,-0.5757370517928286,0.15864,-0.5763745019920319,0.15862,-0.5768725099601593
