Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10181,-0.6229282868525896,-0.10182,-0.623027888446215,-0.10181,-0.6235059760956175,-0.10181,-0.6241832669322709,-0.10183,-0.6229482071713147,-0.10187,-0.623804780876494,-0.10185,-0.6216533864541833,-0.10181,-0.621593625498008
-0.081892,-0.6222509960159363,-0.081868,-0.6242629482071712,-0.081884,-0.6230876494023905,-0.081876,-0.6228685258964143,-0.081894,-0.6230478087649403,-0.081873,-0.624402390438247,-0.081879,-0.6224900398406374,-0.081834,-0.6209760956175299
-0.061765,-0.6224103585657371,-0.061751,-0.6235657370517929,-0.061765,-0.6241832669322709,-0.061788,-0.6231274900398407,-0.061811,-0.6226494023904382,-0.061795,-0.6232669322709163,-0.061806,-0.6229880478087648,-0.061732,-0.6242629482071712
-0.041745,-0.6235258964143425,-0.04175,-0.6249003984063746,-0.041765,-0.6217131474103585,-0.041731,-0.6234860557768924,-0.041765,-0.6213147410358565,-0.041755,-0.6227290836653385,-0.041756,-0.6229681274900397,-0.041726,-0.6221513944223108
-0.021539,-0.6226294820717131,-0.021552,-0.6239840637450198,-0.021569,-0.6247211155378486,-0.02155,-0.6218525896414343,-0.021577,-0.6234262948207171,-0.021584,-0.6226494023904382,-0.021615,-0.6199402390438248,-0.021559,-0.6221115537848605
-0.0015079,-0.6234262948207171,-0.0014707,-0.6233067729083664,-0.0014969,-0.6233665338645419,-0.0014981,-0.6243824701195219,-0.0015188,-0.6231474103585658,-0.0015062,-0.6223107569721116,-0.0015022,-0.6204581673306773,-0.0014682,-0.6221314741035856
0.018682,-0.6224701195219123,0.018662,-0.621613545816733,0.018697,-0.6234462151394423,0.0187,-0.6229482071713147,0.018652,-0.6239243027888446,0.01869,-0.6231075697211155,0.01868,-0.6218326693227092,0.018678,-0.6221115537848605
0.038347,-0.622231075697211,0.038317,-0.6229880478087648,0.038356,-0.6241633466135458,0.038325,-0.6230478087649403,0.038331,-0.6242430278884463,0.038346,-0.6222709163346614,0.038331,-0.6214940239043824,0.038346,-0.622211155378486
0.058481,-0.6221115537848605,0.058452,-0.6216533864541833,0.058498,-0.6219721115537848,0.058473,-0.6229880478087648,0.058478,-0.6249800796812749,0.058439,-0.6213745019920318,0.058484,-0.6215737051792828,0.058449,-0.621414342629482
0.078442,-0.6245019920318725,0.078421,-0.6224302788844621,0.078397,-0.6239043824701195,0.078416,-0.6249402390438247,0.078436,-0.6238247011952192,0.078424,-0.6230876494023905,0.078457,-0.623605577689243,0.078401,-0.6217529880478088
0.098524,-0.6218525896414343,0.098509,-0.6228486055776892,0.098575,-0.6209163346613545,0.098523,-0.6237649402390438,0.098526,-0.6239243027888446,0.098506,-0.6210557768924303,0.098508,-0.6224501992031872,0.098519,-0.6218127490039841
0.11854,-0.6238645418326693,0.11855,-0.623027888446215,0.11854,-0.6240438247011952,0.11854,-0.6255378486055777,0.11853,-0.6226892430278884,0.11856,-0.622788844621514,0.11854,-0.6228486055776892,0.11857,-0.6218525896414343
0.13859,-0.6226693227091633,0.13858,-0.623804780876494,0.13856,-0.6228087649402391,0.13857,-0.6227689243027889,0.13857,-0.6225498007968127,0.1386,-0.6237649402390438,0.13856,-0.6207171314741036,0.13859,-0.6235657370517929
0.15863,-0.6241235059760957,0.15863,-0.6240438247011952,0.15865,-0.6218924302788844,0.15864,-0.6229083665338645,0.15862,-0.6218725099601593,0.15863,-0.625219123505976,0.1586,-0.6205378486055777,0.15868,-0.6208764940239043
