Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10179,-0.8933067729083666,-0.10179,-0.8925697211155378,-0.10175,-0.8947609561752987,-0.10178,-0.8925298804780877,-0.10182,-0.8941035856573705,-0.10184,-0.8927490039840638,-0.10179,-0.891812749003984,-0.10176,-0.8926095617529879
-0.08181,-0.8942629482071713,-0.081825,-0.8935258964143428,-0.081863,-0.8952788844621513,-0.081858,-0.8929282868525895,-0.08187,-0.8931474103585657,-0.081871,-0.8910956175298805,-0.081818,-0.8918326693227091,-0.081851,-0.891792828685259
-0.06171,-0.89402390438247,-0.061717,-0.8948007968127489,-0.061714,-0.8925896414342629,-0.061765,-0.8932669322709164,-0.061744,-0.8930278884462152,-0.061772,-0.892808764940239,-0.061711,-0.8935059760956174,-0.06175,-0.8925498007968127
-0.041693,-0.8952788844621513,-0.041706,-0.8937051792828685,-0.041689,-0.8944422310756972,-0.041715,-0.8951394422310756,-0.04174,-0.8956573705179283,-0.041754,-0.8935458167330677,-0.041683,-0.891812749003984,-0.041728,-0.8944621513944222
-0.021505,-0.8933266932270917,-0.021541,-0.8946613545816733,-0.021515,-0.8931673306772907,-0.021542,-0.8938645418326694,-0.021559,-0.8925298804780877,-0.021546,-0.8944223107569721,-0.021514,-0.8954581673306773,-0.021541,-0.8916932270916333
-0.0014578,-0.8928286852589641,-0.0014366,-0.8929482071713146,-0.0014294,-0.8938446215139442,-0.0014571,-0.8929083665338645,-0.0015008,-0.8919721115537849,-0.0014853,-0.8948605577689244,-0.0014654,-0.8931474103585657,-0.0014957,-0.8929282868525895
0.018724,-0.8924103585657371,0.018721,-0.8947011952191234,0.01877,-0.8931274900398406,0.018685,-0.8940836653386454,0.018689,-0.8930478087649402,0.01872,-0.8921115537848605,0.018731,-0.8925697211155378,0.018709,-0.8920717131474104
0.038406,-0.8944621513944222,0.038432,-0.8951394422310756,0.03838,-0.892211155378486,0.038365,-0.8934262948207171,0.03834,-0.8920717131474104,0.038369,-0.8930876494023905,0.038387,-0.893804780876494,0.038375,-0.8920717131474104
0.058516,-0.8941434262948206,0.058504,-0.8919322709163345,0.058517,-0.8923904382470119,0.058486,-0.8922709163346613,0.058504,-0.894601593625498,0.058496,-0.8930677290836654,0.058493,-0.8925298804780877,0.058501,-0.8951593625498008
0.0785,-0.8927091633466135,0.078496,-0.8920717131474104,0.078472,-0.8943625498007968,0.078441,-0.8944223107569721,0.078457,-0.8942828685258963,0.078443,-0.8909561752988047,0.078489,-0.8931872509960159,0.078443,-0.8928884462151394
0.098588,-0.8935258964143428,0.098602,-0.8925498007968127,0.098576,-0.894601593625498,0.098531,-0.8913944223107568,0.098511,-0.8931075697211155,0.098569,-0.8924900398406374,0.098592,-0.8933266932270917,0.098556,-0.8938446215139442
0.11859,-0.8942430278884462,0.11862,-0.8926095617529879,0.1186,-0.8953386454183266,0.11854,-0.8950398406374501,0.11857,-0.8937649402390438,0.11856,-0.8945816733067729,0.1186,-0.8927888446215139,0.11858,-0.8944422310756972
0.13865,-0.891812749003984,0.13863,-0.8928286852589641,0.13864,-0.8945617529880479,0.13859,-0.8933067729083666,0.13856,-0.8920717131474104,0.13864,-0.8940438247011951,0.13864,-0.8930478087649402,0.13862,-0.8934661354581672
0.15872,-0.8939442231075697,0.15869,-0.8919322709163345,0.15871,-0.8944820717131473,0.15862,-0.8919123505976095,0.15865,-0.8928884462151394,0.15869,-0.8938844621513945,0.15868,-0.8909760956175299,0.15866,-0.8944223107569721
