Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10182,-0.7196812749003983,-0.1018,-0.722589641434263,-0.10181,-0.7219521912350598,-0.10183,-0.7218725099601593,-0.1018,-0.7207569721115538,-0.10183,-0.7219322709163347,-0.10181,-0.7189840637450199,-0.10176,-0.7213147410358566
-0.08184,-0.7220916334661354,-0.081854,-0.7224900398406375,-0.081874,-0.7216334661354582,-0.081878,-0.722011952191235,-0.081846,-0.7197011952191235,-0.081883,-0.7215537848605577,-0.081835,-0.7172908366533864,-0.081833,-0.7202788844621514
-0.061752,-0.7188047808764941,-0.061771,-0.7203187250996015,-0.061756,-0.7185856573705179,-0.061752,-0.7208964143426294,-0.061725,-0.7207569721115538,-0.061747,-0.7209561752988048,-0.061717,-0.7216733067729083,-0.061728,-0.7203784860557769
-0.041725,-0.7206972111553785,-0.041734,-0.7199601593625498,-0.041707,-0.7201195219123505,-0.041715,-0.7192430278884463,-0.04173,-0.7238446215139442,-0.04172,-0.7188645418326693,-0.04169,-0.7212549800796814,-0.041684,-0.721215139442231
-0.021588,-0.7218725099601593,-0.021562,-0.7195418326693227,-0.021565,-0.7210358565737052,-0.02156,-0.7198406374501992,-0.021558,-0.7228685258964144,-0.021544,-0.7197011952191235,-0.021518,-0.7213545816733068,-0.021547,-0.721394422310757
-0.00149,-0.7202988047808764,-0.0014441,-0.7199003984063744,-0.0015093,-0.7193027888446215,-0.0014647,-0.7227290836653386,-0.0014751,-0.7195617529880477,-0.0014996,-0.7213745019920319,-0.0014553,-0.7206573705179283,-0.0014609,-0.7198007968127491
0.01871,-0.722828685258964,0.01872,-0.7205577689243027,0.018693,-0.7199203187250997,0.018712,-0.7212549800796814,0.018717,-0.7209561752988048,0.018692,-0.7190039840637449,0.018682,-0.7209163346613545,0.018701,-0.7199999999999999
0.03839,-0.7229681274900398,0.038359,-0.7208565737051792,0.038329,-0.7215338645418325,0.038374,-0.7182071713147409,0.038336,-0.7214741035856573,0.038393,-0.7219521912350598,0.038369,-0.7182470119521913,0.038373,-0.7213147410358566
0.058491,-0.7218525896414342,0.058489,-0.7183266932270915,0.05846,-0.7194621513944224,0.058533,-0.7191434262948208,0.058457,-0.7200398406374503,0.058498,-0.722011952191235,0.058501,-0.7214741035856573,0.058474,-0.7197011952191235
0.078451,-0.7190438247011952,0.078466,-0.7182270916334661,0.078442,-0.7207569721115538,0.078491,-0.7216533864541832,0.078411,-0.7210159362549802,0.07847,-0.7201593625498008,0.07847,-0.7216135458167331,0.078474,-0.7182071713147409
0.098533,-0.7233266932270915,0.098538,-0.7214741035856573,0.098545,-0.7208366533864542,0.098549,-0.7195019920318725,0.098504,-0.7211752988047808,0.098557,-0.7190836653386453,0.098535,-0.7198007968127491,0.098567,-0.7191035856573704
0.11854,-0.720796812749004,0.11853,-0.7210358565737052,0.11856,-0.7199601593625498,0.11854,-0.719621513944223,0.11854,-0.7198605577689243,0.11857,-0.7213346613545817,0.11857,-0.7197609561752988,0.11859,-0.7185856573705179
0.13859,-0.7184262948207171,0.13859,-0.7202788844621514,0.13858,-0.7207171314741037,0.13857,-0.7193027888446215,0.13861,-0.7214940239043824,0.1386,-0.7224501992031871,0.1386,-0.7207768924302789,0.1386,-0.7206972111553785
0.15863,-0.7220916334661354,0.15865,-0.7211553784860558,0.15864,-0.720398406374502,0.15862,-0.7190836653386453,0.15867,-0.722589641434263,0.15865,-0.7210159362549802,0.15865,-0.7200199203187252,0.15865,-0.7207370517928287
