Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10179,-0.9512948207171315,-0.10177,-0.9565537848605578,-0.10177,-0.8338047808764941,-0.10179,-0.898824701195219,-0.10181,-0.8245418326693227,-0.10178,-0.9586852589641435,-0.1018,-0.8924103585657371,-0.10181,-0.9276494023904381
-0.081826,-0.7639442231075696,-0.081828,-0.7724103585657371,-0.081864,-0.9059760956175299,-0.081856,-0.8303386454183266,-0.081857,-0.8863944223107568,-0.081836,-0.7670916334661354,-0.081865,-0.8262350597609561,-0.081855,-0.811414342629482
-0.061711,-0.9554780876494023,-0.061708,-0.9401394422310757,-0.061751,-0.9547808764940238,-0.061754,-0.866215139442231,-0.061738,-0.8349203187250995,-0.061691,-0.7977290836653387,-0.061738,-0.8828486055776892,-0.061754,-0.8165537848605577
-0.041693,-0.9299402390438247,-0.041716,-0.9174501992031873,-0.041723,-0.8656573705179282,-0.041723,-0.8002390438247011,-0.041689,-0.8187848605577689,-0.041684,-0.9470916334661353,-0.041723,-0.9098804780876494,-0.041728,-0.9454980079681274
-0.021497,-0.7682470119521912,-0.021536,-0.7627888446215139,-0.021532,-0.8021713147410359,-0.021549,-0.8222310756972111,-0.021555,-0.8375298804780876,-0.021497,-0.9542629482071713,-0.021558,-0.8883067729083666,-0.021546,-0.9239442231075697
-0.0014636,-0.7759163346613546,-0.0014687,-0.797171314741036,-0.0014728,-0.8207569721115539,-0.0014998,-0.8587450199203186,-0.0014584,-0.9229482071713148,-0.0014651,-0.819422310756972,-0.001504,-0.8103784860557769,-0.0014435,-0.7639043824701195
0.018723,-0.9184661354581672,0.018684,-0.9435657370517928,0.018717,-0.8563745019920318,0.018682,-0.9133266932270916,0.018714,-0.9050597609561754,0.018718,-0.7700199203187251,0.018731,-0.8167529880478088,0.018727,-0.783406374501992
0.038396,-0.7844820717131473,0.038367,-0.9540836653386454,0.038387,-0.9138247011952191,0.038384,-0.8971713147410357,0.038383,-0.7859561752988048,0.038379,-0.8431673306772909,0.038381,-0.9420916334661354,0.038397,-0.9227290836653387
0.058503,-0.764800796812749,0.058523,-0.8196215139442231,0.05852,-0.8955577689243027,0.058489,-0.8032071713147411,0.058509,-0.8111155378486055,0.058523,-0.9112549800796813,0.058462,-0.9161553784860559,0.058508,-0.955418326693227
0.078472,-0.8904780876494023,0.078455,-0.7668326693227092,0.078501,-0.7948207171314741,0.078469,-0.8179681274900399,0.078463,-0.9568326693227092,0.078469,-0.9010956175298805,0.078478,-0.7636254980079681,0.078473,-0.8549601593625498
0.098523,-0.9510159362549802,0.098573,-0.8407569721115538,0.098584,-0.8190239043824701,0.098499,-0.9550996015936254,0.098567,-0.9409760956175299,0.098593,-0.8653187250996017,0.098531,-0.7898804780876494,0.098552,-0.7927888446215139
0.11859,-0.8749402390438246,0.11857,-0.905996015936255,0.11856,-0.9557370517928286,0.11858,-0.9280677290836653,0.1186,-0.784003984063745,0.1186,-0.8157171314741035,0.11855,-0.9375697211155377,0.11859,-0.8221314741035856
0.13864,-0.8122310756972111,0.13856,-0.8981474103585656,0.13863,-0.9333864541832669,0.13861,-0.7660358565737051,0.13861,-0.9550398406374502,0.13862,-0.8216135458167331,0.13859,-0.9551195219123506,0.13863,-0.8650597609561752
0.1587,-0.8228486055776892,0.15869,-0.863784860557769,0.15864,-0.7754382470119522,0.1587,-0.7812151394422311,0.15868,-0.7640637450199201,0.15869,-0.9307171314741035,0.15869,-0.8393426294820718,0.15867,-0.9096613545816732
