Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10169,-0.7020916334661355,-0.10174,-0.42450199203187255,-0.10177,-0.6579482071713146,-0.10175,-0.9533466135458168,-0.10177,-0.6639043824701194,-0.10172,-0.3573705179282869,-0.10176,-0.9622310756972111,-0.10172,-0.45181274900398405
-0.081754,-0.5566135458167331,-0.08179,-0.6859163346613545,-0.081823,-0.5878884462151395,-0.081791,-0.26974103585657366,-0.081795,-0.46770916334661355,-0.081815,-0.7692828685258963,-0.081775,-0.26258964143426294,-0.081766,-0.8000398406374502
-0.061673,-0.7318924302788845,-0.061682,-0.508824701195219,-0.061714,-0.7596414342629482,-0.061685,-0.42113545816733067,-0.06173,-0.7722310756972112,-0.061668,-0.5817729083665338,-0.06169,-0.8889840637450199,-0.061693,-0.9327888446215139
-0.041656,-0.7630478087649402,-0.04162,-0.362788844621514,-0.041681,-0.7196414342629481,-0.041682,-0.9684661354581673,-0.0417,-0.9145219123505975,-0.041649,-0.3357171314741036,-0.041667,-0.7293426294820718,-0.041651,-0.5058964143426294
-0.021466,-0.5789442231075697,-0.021496,-0.547430278884462,-0.021529,-0.5407171314741035,-0.021547,-0.9014541832669323,-0.021523,-0.5379282868525896,-0.021487,-0.5101394422310758,-0.021433,-0.2334661354581673,-0.021464,-0.3527091633466135
-0.0013871,-0.3286454183266932,-0.0014348,-0.9163147410358565,-0.0014244,-0.3474501992031872,-0.0013998,-0.26836653386454185,-0.001416,-0.3780876494023904,-0.0014368,-0.9330876494023904,-0.0014088,-0.3351195219123506,-0.0014163,-0.5338446215139442
0.018787,-0.4984262948207171,0.018746,-0.7540637450199202,0.018747,-0.5185258964143427,0.018752,-0.22559760956175298,0.018725,-0.5367131474103585,0.018744,-0.7879083665338644,0.018683,-0.9559561752988047,0.018736,-0.7042430278884461
0.038437,-0.9379681274900399,0.038403,-0.23159362549800797,0.038384,-0.9347011952191235,0.038416,-0.8275896414342631,0.038408,-0.7064741035856574,0.038434,-0.22137450199203185,0.038386,-0.946414342629482,0.038439,-0.7825498007968127
0.058539,-0.7986653386454182,0.058563,-0.33884462151394423,0.058502,-0.7934661354581672,0.058515,-0.9467928286852589,0.058526,-0.7774302788844621,0.05854,-0.29790836653386454,0.058555,-0.3106175298804781,0.058544,-0.6084860557768925
0.078577,-0.22533864541832666,0.078496,-0.9652788844621514,0.078545,-0.2242231075697211,0.078529,-0.4647808764940239,0.078482,-0.5964940239043824,0.078461,-0.9403187250996015,0.07854,-0.22747011952191235,0.07854,-0.29029880478087644
0.098644,-0.31490039840637446,0.098581,-0.9207171314741036,0.098621,-0.30149402390438246,0.098606,-0.32354581673306776,0.098622,-0.32796812749003984,0.098565,-0.9591832669322709,0.09858,-0.7684462151394422,0.098606,-0.44312749003984064
0.11861,-0.9410956175298805,0.11864,-0.28647410358565734,0.11859,-0.9625099601593625,0.11861,-0.5671713147410359,0.11861,-0.4990637450199203,0.11864,-0.32001992031872506,0.11859,-0.9072709163346613,0.11859,-0.9643227091633465
0.1387,-0.9591633466135457,0.13869,-0.22294820717131475,0.13865,-0.934203187250996,0.13864,-0.727011952191235,0.13864,-0.9428685258964143,0.13867,-0.22689243027888445,0.13869,-0.5544820717131473,0.13866,-0.8797808764940239
0.15875,-0.3312350597609562,0.15874,-0.8132270916334661,0.15873,-0.3106772908366534,0.15871,-0.7517330677290837,0.15869,-0.8053784860557769,0.15872,-0.7958366533864542,0.15875,-0.39768924302788844,0.15875,-0.2533067729083665
