Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10173,-0.5744820717131474,-0.10171,-0.576593625498008,-0.10175,-0.5749003984063745,-0.10173,-0.573386454183267,-0.10173,-0.5744223107569721,-0.10172,-0.5745617529880478,-0.10169,-0.5733665338645418,-0.10174,-0.5732270916334661
-0.081763,-0.5753187250996016,-0.081759,-0.5754581673306772,-0.081772,-0.5747808764940239,-0.08175,-0.5738844621513944,-0.08177,-0.5753386454183267,-0.081763,-0.5742231075697212,-0.081778,-0.5721115537848606,-0.081761,-0.5723705179282869
-0.061665,-0.5751394422310757,-0.061656,-0.5758366533864542,-0.061646,-0.5743824701195218,-0.061643,-0.5746812749003983,-0.061629,-0.5731075697211155,-0.061657,-0.5753187250996016,-0.061646,-0.5713745019920319,-0.061693,-0.5719521912350597
-0.041615,-0.5745816733067729,-0.041665,-0.5739243027888447,-0.041664,-0.5737250996015936,-0.041624,-0.575199203187251,-0.041615,-0.5731274900398405,-0.041637,-0.5740438247011952,-0.04164,-0.5722310756972111,-0.041649,-0.5725896414342629
-0.02143,-0.5752390438247011,-0.021458,-0.5748605577689243,-0.021514,-0.5742231075697212,-0.021465,-0.576215139442231,-0.021484,-0.5736254980079681,-0.021517,-0.5732868525896414,-0.02147,-0.5720717131474102,-0.021467,-0.574402390438247
-0.0014023,-0.5755378486055777,-0.0014225,-0.5735059760956175,-0.0013888,-0.574800796812749,-0.0013975,-0.5732868525896414,-0.0013911,-0.5734860557768925,-0.0014398,-0.5745617529880478,-0.0013762,-0.5728087649402391,-0.0013778,-0.5735258964143426
0.018785,-0.5741633466135457,0.018787,-0.5745019920318725,0.018791,-0.5761155378486056,0.018778,-0.5755776892430279,0.018794,-0.573187250996016,0.01872,-0.5753984063745019,0.018784,-0.5709760956175299,0.018816,-0.5728486055776891
0.038458,-0.574203187250996,0.038465,-0.5732669322709163,0.038468,-0.5747211155378485,0.038454,-0.5748605577689243,0.038453,-0.5730876494023904,0.038449,-0.5741235059760956,0.038456,-0.572011952191235,0.038461,-0.5721713147410358
0.058612,-0.5751593625498007,0.058573,-0.5732071713147411,0.058597,-0.5740239043824701,0.058569,-0.5749402390438246,0.05857,-0.573426294820717,0.058562,-0.5742231075697212,0.058558,-0.5734661354581674,0.058545,-0.5714741035856574
0.078522,-0.5753984063745019,0.078536,-0.5747211155378485,0.07853,-0.5733665338645418,0.078558,-0.5735458167330677,0.078564,-0.5741235059760956,0.078545,-0.5732470119521912,0.078529,-0.5725697211155378,0.078534,-0.5717729083665338
0.098646,-0.5734661354581674,0.098624,-0.5749800796812748,0.098617,-0.5741035856573705,0.098661,-0.5740239043824701,0.09861,-0.5717529880478088,0.098604,-0.573386454183267,0.098618,-0.572629482071713,0.098624,-0.5713944223107569
0.11866,-0.5750597609561753,0.11864,-0.5737848605577689,0.11863,-0.5746613545816732,0.11862,-0.5741633466135457,0.11869,-0.5736852589641434,0.11864,-0.5742629482071713,0.11867,-0.5744422310756971,0.11864,-0.5738247011952191
0.13871,-0.5745019920318725,0.13869,-0.5735458167330677,0.13869,-0.5735258964143426,0.13866,-0.5734462151394422,0.13869,-0.5723505976095616,0.13869,-0.5739043824701194,0.13866,-0.5726892430278885,0.1387,-0.5717330677290836
0.15875,-0.5743625498007968,0.15874,-0.5745617529880478,0.15876,-0.574800796812749,0.15875,-0.5746812749003983,0.15875,-0.5736254980079681,0.15873,-0.5738645418326693,0.15877,-0.5740637450199203,0.1587,-0.5695019920318725
