Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10171,-0.7011752988047809,-0.10173,-0.7297011952191236,-0.10171,-0.807609561752988,-0.10169,-0.22866533864541833,-0.10171,-0.4951394422310757,-0.10168,-0.23679282868525894,-0.10174,-0.7766733067729084,-0.10171,-0.6804581673306773
-0.081761,-0.4056972111553785,-0.081777,-0.3789840637450199,-0.081761,-0.46336653386454185,-0.081766,-0.9336653386454182,-0.081741,-0.3373505976095617,-0.081768,-0.8974302788844621,-0.081753,-0.49053784860557764,-0.081734,-0.4519322709163347
-0.061658,-0.2671115537848605,-0.061704,-0.8745816733067728,-0.061672,-0.6547211155378486,-0.06171,-0.7972709163346613,-0.061643,-0.5802788844621514,-0.061619,-0.3500996015936255,-0.061679,-0.6730079681274901,-0.061644,-0.2987051792828685
-0.041664,-0.6637250996015935,-0.041662,-0.9676294820717131,-0.041626,-0.8179681274900399,-0.041617,-0.22270916334661353,-0.041623,-0.7527091633466135,-0.041618,-0.5348406374501992,-0.041647,-0.8055776892430278,-0.041634,-0.6544820717131474
-0.021478,-0.8374701195219124,-0.021472,-0.4104183266932271,-0.021472,-0.6270318725099601,-0.021458,-0.2792629482071713,-0.021457,-0.7552788844621513,-0.021479,-0.9015537848605577,-0.021453,-0.6177091633466135,-0.021481,-0.8263745019920319
-0.0013981,-0.5941832669322709,-0.0013891,-0.27171314741035857,-0.0013781,-0.29665338645418327,-0.0013834,-0.914402390438247,-0.0013885,-0.5741633466135457,-0.0014088,-0.7237450199203186,-0.0013998,-0.326812749003984,-0.0013781,-0.6596812749003984
0.018769,-0.41494023904382465,0.018774,-0.652988047808765,0.018787,-0.4706374501992032,0.018795,-0.9704382470119522,0.018812,-0.3302988047808765,0.01881,-0.2294621513944223,0.018789,-0.5004382470119522,0.018789,-0.4793625498007968
0.038436,-0.47661354581673304,0.038435,-0.8211354581673306,0.038432,-0.955,0.038477,-0.3678884462151394,0.038471,-0.5003187250996016,0.038468,-0.347609561752988,0.038436,-0.9518924302788843,0.038445,-0.429402390438247
0.058557,-0.6592629482071712,0.058555,-0.6364741035856574,0.058562,-0.8264940239043824,0.058603,-0.24892430278884461,0.058598,-0.949402390438247,0.058576,-0.9687450199203187,0.058544,-0.8164541832669321,0.058585,-0.6097410358565737
0.078533,-0.8186254980079681,0.078546,-0.46346613545816734,0.078567,-0.2245617529880478,0.078541,-0.7258366533864541,0.078568,-0.8181673306772909,0.07852,-0.9076892430278883,0.078562,-0.22312749003984061,0.078558,-0.8638844621513945
0.098635,-0.6323904382470119,0.098659,-0.42511952191235064,0.098626,-0.2898406374501992,0.09865,-0.8804183266932271,0.098676,-0.2235059760956175,0.098651,-0.25161354581673306,0.09865,-0.2976892430278884,0.098629,-0.6819123505976095
0.11866,-0.2953784860557769,0.11866,-0.5991434262948206,0.11866,-0.9577290836653387,0.11865,-0.5645019920318725,0.11869,-0.29163346613545815,0.11866,-0.24237051792828687,0.11862,-0.9469521912350598,0.1187,-0.26069721115537847
0.1387,-0.4614143426294821,0.13867,-0.872410358565737,0.13869,-0.9450398406374503,0.13875,-0.4045418326693227,0.13868,-0.9451195219123505,0.13864,-0.8777689243027887,0.13866,-0.959601593625498,0.13868,-0.42434262948207174
0.15874,-0.9638446215139441,0.15874,-0.6889243027888445,0.15876,-0.2909561752988048,0.15874,-0.493207171314741,0.15877,-0.9581872509960159,0.15871,-0.9659760956175298,0.15878,-0.2999800796812749,0.15874,-0.965179282868526
