Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.097055,-0.42248672566371676,-0.09706,-0.4223008849557522,-0.097063,-0.42227433628318584,-0.097037,-0.42217699115044244,-0.097087,-0.42215929203539826,-0.097111,-0.4221238938053097,-0.097072,-0.42207964601769915,-0.097047,-0.4220619469026548
-0.077118,-0.4195929203539822,-0.07717,-0.4194690265486726,-0.07716,-0.41938938053097347,-0.077138,-0.4193362831858406,-0.077157,-0.4192654867256637,-0.077154,-0.4193097345132743,-0.077155,-0.4192477876106195,-0.077166,-0.419221238938053
-0.05704,-0.4167079646017699,-0.057054,-0.41660176991150444,-0.057061,-0.4164955752212389,-0.05706,-0.41650442477876104,-0.057101,-0.4163982300884956,-0.057079,-0.4164247787610619,-0.057112,-0.416353982300885,-0.057091,-0.416362831858407
-0.037069,-0.41381415929203536,-0.037059,-0.4137256637168141,-0.037067,-0.4136548672566372,-0.037101,-0.4136548672566372,-0.0371,-0.41355752212389374,-0.037115,-0.41357522123893803,-0.0371,-0.41347787610619463,-0.037137,-0.41348672566371686
-0.01694,-0.4109646017699115,-0.01693,-0.4108318584070796,-0.016936,-0.41076991150442477,-0.016945,-0.41076106194690265,-0.016952,-0.4106814159292035,-0.017005,-0.4106814159292035,-0.016971,-0.4106194690265486,-0.016962,-0.4105929203539823
0.0030834,-0.4081061946902655,0.0030845,-0.40795575221238933,0.0030466,-0.4079380530973451,0.0030764,-0.40791150442477875,0.0030319,-0.40784070796460176,0.0030224,-0.4078318584070796,0.0030236,-0.4077787610619469,0.0030104,-0.40776106194690265
0.023254,-0.40523008849557524,0.02324,-0.4051061946902654,0.023249,-0.40509734513274337,0.023236,-0.4050442477876106,0.023239,-0.4049557522123894,0.023219,-0.4049380530973451,0.023191,-0.4049203539823008,0.023204,-0.40484070796460175
0.0429,-0.4024070796460177,0.042869,-0.4023097345132743,0.042858,-0.4022920353982301,0.042849,-0.40225663716814153,0.042866,-0.4021769911504425,0.042863,-0.4021327433628318,0.042824,-0.4020796460176991,0.04285,-0.4020796460176991
0.06301,-0.39956637168141595,0.062941,-0.3994690265486725,0.062967,-0.39944247787610615,0.062935,-0.39942477876106197,0.062948,-0.3993362831858407,0.062949,-0.3993097345132743,0.062912,-0.39923008849557523,0.062953,-0.39922123893805306
0.082899,-0.3967079646017699,0.082911,-0.39661946902654865,0.082912,-0.39661946902654865,0.082871,-0.3965929203539823,0.082893,-0.39651327433628325,0.082858,-0.39645132743362826,0.082881,-0.39639823008849556,0.082877,-0.3963628318584071
0.10297,-0.393858407079646,0.10291,-0.3937699115044247,0.10291,-0.39378761061946904,0.10295,-0.39372566371681417,0.10292,-0.3936725663716814,0.10291,-0.39361061946902653,0.10293,-0.39355752212389383,0.10293,-0.39356637168141595
0.12296,-0.3910353982300885,0.12295,-0.39093805309734514,0.12294,-0.390929203539823,0.12294,-0.39087610619469026,0.12295,-0.39084070796460174,0.1229,-0.39076991150442475,0.12287,-0.3907433628318584,0.12288,-0.39072566371681416
0.14295,-0.38819469026548664,0.14295,-0.38810619469026547,0.14296,-0.3880707964601769,0.14293,-0.38802654867256636,0.14292,-0.388,0.14292,-0.3879557522123893,0.14287,-0.38790265486725656,0.1429,-0.38786725663716815
0.16294,-0.3853982300884956,0.16296,-0.3852566371681416,0.16296,-0.38524778761061945,0.16301,-0.38520353982300887,0.16294,-0.3851858407079646,0.16295,-0.3850884955752213,0.16292,-0.3850619469026549,0.16292,-0.3850530973451327
