Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-2.0037,-0.006698318584070797
-1.9837,-0.00668787610619469
-1.9637,-0.006674070796460176
-1.9435,-0.006681327433628318
-1.9235,-0.006669911504424779
-1.9033,-0.006679734513274337
-1.8834,-0.006659026548672567
-1.8633,-0.00667070796460177
-1.8433,-0.006660796460176991
-1.8229,-0.006663893805309734
-1.8029,-0.006675398230088495
-1.7828,-0.006662566371681415
-1.7628,-0.006652035398230088
-1.7427,-0.00664867256637168
-1.7227,-0.0066529203539823015
-1.7026,-0.006656017699115044
-1.6825,-0.006646283185840708
-1.6625,-0.00664867256637168
-1.6424,-0.006641769911504424
-1.6225,-0.00664221238938053
-1.6023,-0.006637256637168141
-1.5823,-0.006627256637168142
-1.5622,-0.006639823008849557
-1.5422,-0.0066373451327433625
-1.5221,-0.006634955752212389
-1.5021,-0.006631504424778761
-1.4821,-0.006634867256637167
-1.4621,-0.006624955752212389
-1.442,-0.006618318584070797
-1.422,-0.006621592920353982
-1.4019,-0.006621946902654866
-1.3815,-0.006620619469026549
-1.3614,-0.006622389380530974
-1.3413,-0.006617256637168142
-1.3213,-0.006617610619469026
-1.3012,-0.006618141592920353
-1.2813,-0.006616106194690265
-1.2611,-0.006616548672566371
-1.2411,-0.006607699115044247
-1.221,-0.0066144247787610615
-1.2011,-0.006616548672566371
-1.1809,-0.006603185840707964
-1.161,-0.006604424778761062
-1.1409,-0.006598230088495575
-1.1208,-0.006600884955752212
-1.1008,-0.00660221238938053
-1.0807,-0.0066029203539823
-1.0606,-0.006602743362831858
-1.0405,-0.006594601769911504
-1.0205,-0.006591150442477876
-1.0004,-0.006590265486725663
-0.98044,-0.0065892920353982296
-0.96034,-0.006585044247787611
-0.94008,-0.006588761061946903
-0.91989,-0.006586283185840708
-0.89991,-0.006581946902654867
-0.87979,-0.006580442477876106
-0.85985,-0.0065811504424778755
-0.83975,-0.006573982300884956
-0.81978,-0.006580088495575221
-0.79971,-0.006573982300884956
-0.7797,-0.006561061946902655
-0.75967,-0.006564336283185841
-0.73964,-0.006563097345132744
-0.71961,-0.006561238938053097
-0.69954,-0.0065617699115044234
-0.67959,-0.006574070796460177
-0.65952,-0.006560088495575221
-0.63955,-0.00655929203539823
-0.61946,-0.006550265486725664
-0.59948,-0.006566902654867255
-0.57931,-0.006552566371681416
-0.55939,-0.006554955752212389
-0.53925,-0.006550442477876106
-0.5193,-0.006550530973451327
-0.49926,-0.006543628318584072
-0.47894,-0.006541504424778761
-0.45887,-0.006545398230088495
-0.43883,-0.006543008849557522
-0.41874,-0.006534159292035398
-0.39869,-0.006539734513274336
-0.37862,-0.006521769911504424
-0.35855,-0.006543008849557522
-0.33855,-0.006521592920353983
-0.31839,-0.006524247787610619
-0.29835,-0.006512035398230088
-0.27822,-0.006513451327433628
-0.25826,-0.00651221238938053
-0.23816,-0.00651
-0.2182,-0.006509646017699115
-0.19808,-0.0065294690265486725
-0.17807,-0.0064968141592920345
-0.15797,-0.006521769911504424
-0.13793,-0.00651433628318584
-0.11785,-0.006525309734513274
-0.097797,-0.006506106194690265
-0.077816,-0.006522300884955751
-0.057742,-0.0064961946902654865
-0.037334,-0.006513451327433628
-0.017193,-0.006491238938053097
0.0028514,-0.006504778761061946
0.023051,-0.006480088495575221
0.043077,-0.006501238938053097
0.063208,-0.006481061946902654
0.083152,-0.006498938053097345
0.10328,-0.0064733628318584075
0.12324,-0.006488849557522124
0.14328,-0.0064672566371681405
0.16331,-0.006483716814159292
0.18338,-0.006463451327433628
0.20344,-0.006463008849557522
0.2235,-0.006440884955752212
0.24357,-0.006463982300884955
0.26355,-0.006442920353982301
0.28366,-0.006458761061946903
0.30369,-0.006441415929203539
0.32379,-0.006454247787610619
0.34381,-0.00643150442477876
0.36393,-0.006456814159292035
0.38391,-0.006421681415929202
0.40399,-0.006446017699115044
0.42394,-0.006416371681415929
0.44407,-0.006434955752212389
0.46405,-0.006407522123893805
0.48413,-0.006424336283185841
0.50418,-0.006411946902654866
0.52424,-0.006423185840707965
0.54426,-0.00639787610619469
0.56427,-0.0064037168141592915
0.58435,-0.006392300884955751
0.60437,-0.006392566371681416
0.6244,-0.006382035398230088
0.64441,-0.006382123893805309
0.66451,-0.006367433628318584
0.68447,-0.006361681415929203
0.70464,-0.0063623008849557515
0.7246,-0.006353539823008849
0.74468,-0.006344778761061946
0.76468,-0.006337964601769911
0.78473,-0.006343539823008849
0.80477,-0.006333451327433628
0.82482,-0.006318849557522123
0.84485,-0.006319911504424779
0.86491,-0.00630566371681416
0.88497,-0.006303539823008848
0.90504,-0.006302300884955752
0.92515,-0.006286017699115043
0.94514,-0.0062847787610619465
0.96525,-0.006268938053097345
0.98525,-0.006275221238938053
1.0054,-0.006253539823008849
1.0258,-0.006250619469026548
1.0459,-0.006236460176991149
1.0659,-0.006243097345132743
1.086,-0.006223451327433628
1.106,-0.006227433628318584
1.1261,-0.006206814159292034
