Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.2018,-0.006466017699115043
-0.18173,-0.006458053097345132
-0.16164,-0.0064696460176991155
-0.14158,-0.006452743362831859
-0.12155,-0.006451681415929204
-0.10144,-0.00645716814159292
-0.081464,-0.006444513274336283
-0.061375,-0.006440619469026548
-0.041007,-0.006442389380530974
-0.020818,-0.006441946902654866
-0.00080984,-0.006433805309734513
0.019415,-0.006434690265486725
0.039414,-0.00642929203539823
0.059543,-0.006442389380530974
0.079506,-0.006428053097345133
0.099609,-0.006419734513274335
0.11961,-0.006425752212389379
0.13964,-0.00641141592920354
0.16007,-0.00640504424778761
0.18007,-0.006407433628318584
0.20015,-0.0064089380530973445
0.22021,-0.00640504424778761
0.24033,-0.0063941592920353976
0.26026,-0.006387964601769911
0.28041,-0.0063808849557522125
0.30041,-0.00638495575221239
0.32057,-0.006381061946902655
0.34049,-0.0063762831858407065
0.36097,-0.006365663716814159
0.38094,-0.00636716814159292
0.40101,-0.006363451327433628
0.42099,-0.006348672566371681
0.44109,-0.0063468141592920345
0.46112,-0.006350707964601769
0.48117,-0.006345663716814158
0.50123,-0.006340973451327433
0.52127,-0.00632725663716814
0.54131,-0.0063291150442477875
0.56163,-0.006326283185840707
0.58171,-0.006319380530973451
0.60167,-0.006307610619469026
0.62182,-0.006316991150442477
0.64177,-0.006299292035398229
0.66191,-0.006301681415929204
0.68186,-0.006290176991150443
0.702,-0.006294070796460177
0.72196,-0.006272477876106194
0.74203,-0.006281150442477876
0.76237,-0.006267699115044247
0.78246,-0.006277168141592921
0.80251,-0.00625575221238938
0.82252,-0.006259026548672566
0.84259,-0.006248849557522123
0.86264,-0.006250442477876107
0.88271,-0.00623504424778761
0.90275,-0.00624070796460177
0.9228,-0.006224778761061946
0.94282,-0.006226371681415929
0.96331,-0.0062034513274336275
0.98334,-0.006223539823008849
1.0035,-0.006189823008849556
1.0235,-0.006203362831858407
1.0437,-0.006179469026548672
1.0636,-0.006186814159292035
1.0837,-0.006164690265486725
1.1037,-0.0061729203539823
1.1237,-0.006150442477876105
1.1438,-0.006156106194690265
1.1641,-0.006129999999999999
1.1842,-0.006130353982300885
1.2043,-0.006120884955752211
1.2244,-0.0061207964601769915
1.2444,-0.006104867256637168
1.2645,-0.006109911504424778
1.2845,-0.006088761061946902
1.3047,-0.006091769911504425
1.3247,-0.006068672566371681
1.3448,-0.0060785840707964596
1.3651,-0.0060460176991150435
1.3852,-0.006047168141592919
1.4052,-0.006034247787610619
1.4252,-0.006031592920353983
1.4453,-0.0059980530973451325
1.4653,-0.0060046017699115035
1.4854,-0.005983805309734512
1.5055,-0.00597716814159292
1.5255,-0.00596141592920354
1.5455,-0.0059462831858407075
1.566,-0.005928672566371681
1.586,-0.005937964601769911
1.6061,-0.005899911504424778
1.6261,-0.005884601769911504
1.6463,-0.005869646017699115
1.6663,-0.0058449557522123885
1.6865,-0.005840530973451327
1.7065,-0.005814424778761061
1.7266,-0.005793008849557522
1.7466,-0.005771769911504424
1.767,-0.005750530973451327
1.787,-0.005726902654867257
1.8071,-0.005705044247787611
1.8271,-0.005675575221238939
1.8472,-0.005648495575221239
1.8672,-0.0056091150442477864
1.8873,-0.005580530973451327
1.9074,-0.00553513274336283
1.9273,-0.005510884955752212
1.9474,-0.005460884955752212
1.9677,-0.005438318584070795
1.9879,-0.005385663716814159
2.0079,-0.005350884955752212
2.0279,-0.005289557522123894
2.0479,-0.005238141592920353
2.068,-0.005168407079646018
2.0879,-0.0051192035398230085
2.1081,-0.005050265486725663
2.1281,-0.004973451327433628
2.1481,-0.004881238938053097
2.1685,-0.004805929203539823
2.1885,-0.004702477876106195
2.2086,-0.004613008849557522
2.2286,-0.004497079646017699
2.2487,-0.004392566371681415
2.2687,-0.004261504424778761
2.2889,-0.0041414159292035395
2.3088,-0.003981592920353982
2.3289,-0.003834513274336283
2.3489,-0.0036592035398230085
2.3694,-0.0034888495575221235
2.3893,-0.003274513274336283
2.4094,-0.003089469026548672
2.4295,-0.0028526548672566368
2.4495,-0.0026244247787610615
2.4696,-0.0023601769911504424
2.4896,-0.0021065486725663717
2.5097,-0.0018135398230088493
2.5297,-0.0015141592920353982
2.5498,-0.00119
2.5701,-0.0008543451327433627
2.5903,-0.0004815663716814159
2.6103,-0.0001384070796460177
2.6304,0.0002757079646017699
2.6503,0.0006713097345132743
,
Sweep Time (s),Voltage Rate (V/s)
4.999574899673462,0.5700484655577702
