Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.19737,-0.38780530973451327
-0.17736,-0.3852566371681416
-0.15733,-0.3827610619469027
-0.13726,-0.3804070796460176
-0.11725,-0.3779380530973451
-0.097146,-0.3755840707964601
-0.077263,-0.3729911504424779
-0.057175,-0.3706371681415929
-0.036825,-0.36815929203539827
-0.016657,-0.36562831858407074
0.0033226,-0.36325663716814155
0.02352,-0.3608318584070796
0.043494,-0.35843362831858405
0.063605,-0.3558938053097345
0.083531,-0.35346017699115045
0.10359,-0.35102654867256633
0.12356,-0.34867256637168137
0.14355,-0.34620353982300883
0.16393,-0.34367256637168137
0.18396,-0.34129203539823005
0.204,-0.33876106194690264
0.224,-0.336504424778761
0.24409,-0.33377876106194687
0.26401,-0.3315575221238938
0.28408,-0.329070796460177
0.30407,-0.3266814159292035
0.32421,-0.32414159292035394
0.34411,-0.32182300884955745
0.36457,-0.3192035398230088
0.38449,-0.316787610619469
0.40458,-0.3143451327433628
0.4245,-0.31188495575221237
0.44456,-0.3095132743362832
0.46456,-0.3069911504424778
0.48459,-0.30457522123893804
0.50464,-0.30221238938053097
0.52463,-0.299787610619469
0.54467,-0.2971504424778761
0.56496,-0.2948495575221239
0.58496,-0.29242477876106193
0.60492,-0.2900088495575221
0.62504,-0.2874778761061947
0.64495,-0.2851238938053097
0.66507,-0.28270796460176995
0.68496,-0.2801769911504425
0.70506,-0.2776725663716814
0.72499,-0.2753539823008849
0.74505,-0.27293805309734515
0.76534,-0.27043362831858403
0.7854,-0.2679557522123893
0.80541,-0.2655840707964602
0.82543,-0.26307964601769906
0.84547,-0.2606814159292035
0.86547,-0.25817699115044246
0.88553,-0.25579646017699115
0.90554,-0.25346902654867254
0.92558,-0.2510619469026549
0.94559,-0.2484867256637168
0.96605,-0.24615044247787612
0.98601,-0.2436371681415929
1.0061,-0.24124778761061944
1.0261,-0.23884955752212386
1.0462,-0.23640707964601768
1.0662,-0.23407079646017698
1.0862,-0.23161061946902653
1.1062,-0.22917699115044246
1.1263,-0.22677876106194686
1.1462,-0.22442477876106193
1.1666,-0.2220530973451327
1.1866,-0.2196371681415929
1.2066,-0.21715044247787607
1.2267,-0.21476106194690261
1.2467,-0.21243362831858406
1.2668,-0.21001769911504423
1.2867,-0.20758407079646016
1.3069,-0.20529203539823007
1.3268,-0.20283185840707965
1.3469,-0.2004778761061947
1.3672,-0.19811504424778761
1.3873,-0.19568141592920352
1.4072,-0.19332743362831858
1.4273,-0.19099115044247786
1.4473,-0.1886814159292035
1.4674,-0.1862654867256637
1.4874,-0.1839026548672566
1.5074,-0.1815575221238938
1.5274,-0.17918584070796462
1.5474,-0.1768938053097345
1.5678,-0.17453982300884957
1.5878,-0.17214159292035397
1.6079,-0.1698938053097345
1.6279,-0.16754867256637168
1.6481,-0.16529203539823006
1.668,-0.16293805309734513
1.6881,-0.1606283185840708
1.7081,-0.1583362831858407
1.7282,-0.1560442477876106
1.7482,-0.15376106194690262
1.7685,-0.15138938053097342
1.7885,-0.14916814159292036
1.8086,-0.1468495575221239
1.8286,-0.1446283185840708
1.8486,-0.1422920353982301
1.8687,-0.1401061946902655
1.8887,-0.1378141592920354
1.9088,-0.13561061946902653
1.9287,-0.13337168141592917
1.9488,-0.1311504424778761
1.9691,-0.1288938053097345
1.9892,-0.12661946902654866
2.0091,-0.1244778761061947
2.0292,-0.12222123893805309
2.0491,-0.12002654867256637
2.0692,-0.11787610619469026
2.0891,-0.1157433628318584
2.1091,-0.11355752212389379
2.1292,-0.11138938053097344
2.1492,-0.10921238938053096
2.1695,-0.10702654867256636
2.1896,-0.10493805309734515
2.2096,-0.10283185840707965
2.2296,-0.10066371681415928
2.2497,-0.09855752212389379
2.2697,-0.09646017699115045
2.2897,-0.09436283185840708
2.3097,-0.09229203539823008
2.3298,-0.09018584070796459
2.3497,-0.08813539823008848
2.3702,-0.0860858407079646
2.3901,-0.08404601769911504
2.4102,-0.08200530973451327
2.4302,-0.07998672566371681
2.4503,-0.07800442477876106
2.4703,-0.07597787610619469
2.4903,-0.07399469026548672
2.5104,-0.07199911504424779
2.5303,-0.07005309734513275
2.5505,-0.06807079646017698
2.5707,-0.06613274336283186
2.5909,-0.06417787610619469
2.6108,-0.06230088495575221
2.631,-0.060402654867256635
2.6509,-0.05852743362831859
,
Sweep Time (s),Voltage Rate (V/s)
5.009568214416504,0.5689113069262712
