Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.099213,-0.22225663716814156,-0.099278,-0.2228230088495575,-0.099268,-0.22291150442477875,-0.099282,-0.22198230088495574,-0.099281,-0.22191150442477875,-0.099281,-0.2224159292035398,-0.09929,-0.22338938053097346,-0.099301,-0.22280530973451326
-0.079284,-0.2224159292035398,-0.07935,-0.2223008849557522,-0.079352,-0.2219557522123894,-0.079311,-0.22261061946902652,-0.079318,-0.22297345132743362,-0.079357,-0.22221238938053098,-0.079344,-0.22185840707964602,-0.079373,-0.2227079646017699
-0.059186,-0.22230973451327435,-0.059226,-0.22218584070796457,-0.059257,-0.222141592920354,-0.059232,-0.22218584070796457,-0.059216,-0.22172566371681415,-0.059244,-0.22163716814159293,-0.059259,-0.22176106194690265,-0.059244,-0.22031858407079644
-0.038834,-0.22062831858407075,-0.038914,-0.22066371681415928,-0.038902,-0.2210088495575221,-0.038844,-0.22130973451327432,-0.038917,-0.2204690265486726,-0.038877,-0.22053982300884956,-0.038865,-0.22074336283185836,-0.038913,-0.22104424778761061
-0.018684,-0.2211504424778761,-0.018709,-0.22075221238938056,-0.018749,-0.22086725663716814,-0.018672,-0.22041592920353983,-0.018741,-0.22031858407079644,-0.018685,-0.21965486725663716,-0.01874,-0.22072566371681412,-0.018746,-0.22107964601769908
0.0013193,-0.22001769911504426,0.00129,-0.21942477876106192,0.0012374,-0.219858407079646,0.001267,-0.22083185840707964,0.0012436,-0.21909734513274334,0.0012793,-0.21977876106194688,0.0012722,-0.22082300884955752,0.0012498,-0.22006194690265485
0.021539,-0.21943362831858407,0.021543,-0.2193097345132743,0.021508,-0.21936283185840708,0.02153,-0.21842477876106192,0.021495,-0.21905309734513276,0.021524,-0.21938938053097345,0.021526,-0.21884070796460176,0.021478,-0.21916814159292033
0.041536,-0.21928318584070794,0.041509,-0.21924778761061947,0.041508,-0.21852212389380526,0.041481,-0.21859292035398228,0.041529,-0.21846902654867253,0.041536,-0.21776991150442476,0.041519,-0.21794690265486721,0.041491,-0.2190796460176991
0.061674,-0.2176106194690265,0.061654,-0.21781415929203538,0.061615,-0.2188141592920354,0.061644,-0.2182212389380531,0.061619,-0.2181858407079646,0.061608,-0.2173451327433628,0.061662,-0.21809734513274337,0.061602,-0.2177079646017699
0.081635,-0.21798230088495574,0.081592,-0.21717699115044245,0.081594,-0.21695575221238936,0.081602,-0.21704424778761058,0.081574,-0.21723893805309735,0.081597,-0.2177433628318584,0.081579,-0.2172212389380531,0.08156,-0.21661061946902654
0.10172,-0.21648672566371682,0.10169,-0.21681415929203537,0.10165,-0.21715929203539822,0.10167,-0.2162654867256637,0.10166,-0.21730088495575217,0.10165,-0.21565486725663716,0.10168,-0.21684070796460175,0.10164,-0.2169823008849557
0.12172,-0.21609734513274334,0.12166,-0.2164424778761062,0.12165,-0.2156283185840708,0.12168,-0.21661061946902654,0.12168,-0.21554867256637164,0.12166,-0.21630973451327434,0.12167,-0.21608849557522125,0.12166,-0.21563716814159292
0.14213,-0.21566371681415927,0.14209,-0.21481415929203537,0.14202,-0.2154867256637168,0.14206,-0.215,0.14205,-0.21498230088495573,0.14206,-0.2155132743362832,0.14202,-0.2152212389380531,0.14203,-0.2147787610619469
0.16216,-0.21501769911504423,0.16212,-0.21509734513274337,0.16207,-0.21513274336283186,0.16209,-0.21468141592920353,0.16211,-0.2143451327433628,0.16207,-0.21408849557522122,0.1621,-0.21498230088495573,0.16206,-0.21425663716814158
