Date,7/16/2018
Spectrometer,FLMS02587
Lamp SN,F1401
Int. Time(usec),350000
Average,0
Boxcar,0
Fiber (micron),7140
,
[uJoule/count],
339.6194,0.00E+00
340.0003,0.00E+00
340.3812,0.00E+00
340.762,0.00E+00
341.1428,0.00E+00
341.5236,0.00E+00
341.9043,0.00E+00
342.285,0.00E+00
342.6657,0.00E+00
343.0463,0.00E+00
343.4269,0.00E+00
343.8074,0.00E+00
344.1879,0.00E+00
344.5684,0.00E+00
344.9488,0.00E+00
345.3292,-1.26E-02
345.7095,-1.58E-02
346.0898,-1.36E-02
346.4701,8.38E-03
346.8503,1.35E-03
347.2305,6.98E-04
347.6106,4.72E-04
347.9907,3.56E-04
348.3708,2.85E-04
348.7508,2.36E-04
349.1308,2.00E-04
349.5107,1.74E-04
349.8906,1.55E-04
350.2705,1.38E-04
350.6503,1.28E-04
351.0301,1.25E-04
351.4099,1.24E-04
351.7896,1.23E-04
352.1692,1.22E-04
352.5489,1.21E-04
352.9284,1.21E-04
353.308,1.20E-04
353.6875,1.18E-04
354.067,1.16E-04
354.4464,1.15E-04
354.8258,1.14E-04
355.2051,1.14E-04
355.5844,1.13E-04
355.9637,1.12E-04
356.3429,1.11E-04
356.7221,1.10E-04
357.1013,1.09E-04
357.4804,1.07E-04
357.8595,1.06E-04
358.2385,1.06E-04
358.6175,1.06E-04
358.9964,1.05E-04
359.3753,1.04E-04
359.7542,1.03E-04
360.1331,1.03E-04
360.5118,1.01E-04
360.8906,1.00E-04
361.2693,9.98E-05
361.648,9.93E-05
362.0266,9.89E-05
362.4052,9.72E-05
362.7838,9.65E-05
363.1623,9.55E-05
363.5407,9.50E-05
363.9192,9.40E-05
364.2976,9.30E-05
364.6759,9.22E-05
365.0542,9.13E-05
365.4325,8.98E-05
365.8107,8.92E-05
366.1889,8.82E-05
366.5671,8.77E-05
366.9452,8.69E-05
367.3233,8.61E-05
367.7013,8.53E-05
368.0793,8.45E-05
368.4572,8.35E-05
368.8352,8.27E-05
369.213,8.22E-05
369.5909,8.21E-05
369.9686,8.16E-05
370.3464,8.09E-05
370.7241,8.06E-05
371.1018,8.03E-05
371.4794,7.99E-05
371.857,7.97E-05
372.2346,7.94E-05
372.6121,7.90E-05
372.9895,7.90E-05
373.367,7.84E-05
373.7444,7.82E-05
374.1217,7.74E-05
374.499,7.72E-05
374.8763,7.64E-05
375.2535,7.53E-05
375.6307,7.40E-05
376.0078,7.32E-05
376.385,7.23E-05
376.762,7.16E-05
377.139,7.05E-05
377.516,6.97E-05
377.893,6.89E-05
378.2699,6.81E-05
378.6467,6.74E-05
379.0236,6.69E-05
379.4004,6.64E-05
379.7771,6.64E-05
380.1538,6.58E-05
380.5305,6.51E-05
380.9071,6.44E-05
381.2837,6.40E-05
381.6602,6.36E-05
382.0367,6.28E-05
382.4132,6.24E-05
382.7896,6.19E-05
383.166,6.14E-05
383.5423,6.08E-05
383.9186,6.02E-05
384.2949,5.97E-05
384.6711,5.92E-05
385.0473,5.84E-05
385.4234,5.77E-05
385.7995,5.68E-05
386.1755,5.62E-05
386.5516,5.54E-05
386.9275,5.45E-05
387.3035,5.37E-05
387.6794,5.31E-05
388.0552,5.23E-05
388.431,5.18E-05
388.8068,5.10E-05
389.1825,5.04E-05
389.5582,5.00E-05
389.9339,4.94E-05
390.3095,4.88E-05
390.685,4.80E-05
391.0606,4.74E-05
391.436,4.69E-05
391.8115,4.63E-05
392.1869,4.59E-05
392.5623,4.53E-05
392.9376,4.49E-05
393.3129,4.47E-05
393.6881,4.44E-05
394.0633,4.42E-05
394.4385,4.42E-05
394.8136,4.42E-05
395.1887,4.41E-05
395.5637,4.39E-05
395.9387,4.35E-05
396.3136,4.29E-05
396.6886,4.24E-05
397.0634,4.19E-05
397.4383,4.15E-05
397.813,4.09E-05
398.1878,4.06E-05
398.5625,4.03E-05
398.9372,4.01E-05
399.3118,3.99E-05
399.6864,3.99E-05
400.0609,3.97E-05
400.4354,3.94E-05
400.8099,3.92E-05
401.1843,3.89E-05
401.5587,3.87E-05
401.933,3.84E-05
402.3073,3.82E-05
402.6816,3.79E-05
403.0558,3.75E-05
403.43,3.73E-05
403.8041,3.70E-05
404.1782,3.67E-05
404.5523,3.65E-05
404.9263,3.62E-05
405.3002,3.60E-05
405.6742,3.57E-05
406.0481,3.54E-05
406.4219,3.52E-05
406.7957,3.49E-05
407.1695,3.47E-05
407.5432,3.44E-05
407.9169,3.42E-05
408.2905,3.39E-05
408.6641,3.37E-05
409.0377,3.34E-05
409.4112,3.32E-05
409.7847,3.30E-05
410.1581,3.29E-05
410.5315,3.27E-05
410.9048,3.25E-05
411.2781,3.24E-05
411.6514,3.22E-05
412.0246,3.15E-05
412.3978,3.14E-05
412.771,3.13E-05
413.1441,3.13E-05
413.5171,3.12E-05
413.8902,3.11E-05
414.2631,3.10E-05
414.6361,3.09E-05
415.009,3.08E-05
415.3818,3.07E-05
415.7546,3.07E-05
416.1274,3.12E-05
416.5001,3.12E-05
416.8728,3.11E-05
417.2455,3.10E-05
417.6181,3.09E-05
417.9906,3.09E-05
418.3632,3.07E-05
418.7356,3.06E-05
419.1081,3.05E-05
419.4805,3.04E-05
419.8528,3.03E-05
420.2251,3.02E-05
420.5974,3.01E-05
420.9696,3.00E-05
421.3418,2.99E-05
421.714,2.97E-05
422.0861,2.96E-05
422.4582,2.95E-05
422.8302,2.94E-05
423.2022,2.93E-05
423.5741,2.92E-05
423.946,2.90E-05
424.3178,2.89E-05
424.6897,2.87E-05
425.0614,2.86E-05
425.4332,2.84E-05
425.8049,2.82E-05
426.1765,2.81E-05
426.5481,2.79E-05
426.9197,2.78E-05
427.2912,2.76E-05
427.6627,2.75E-05
428.0341,2.73E-05
428.4055,2.71E-05
428.7769,2.70E-05
429.1482,2.69E-05
429.5194,2.68E-05
429.8907,2.66E-05
430.2619,2.65E-05
430.633,2.64E-05
431.0041,2.63E-05
431.3752,2.61E-05
431.7462,2.59E-05
432.1172,2.58E-05
432.4881,2.57E-05
432.859,2.56E-05
433.2298,2.54E-05
433.6007,2.53E-05
433.9714,2.52E-05
434.3422,2.50E-05
434.7128,2.50E-05
435.0835,2.49E-05
435.4541,2.48E-05
435.8246,2.47E-05
436.1951,2.46E-05
436.5656,2.46E-05
436.9361,2.45E-05
437.3064,2.45E-05
437.6768,2.44E-05
438.0471,2.44E-05
438.4174,2.44E-05
438.7876,2.43E-05
439.1578,2.43E-05
439.5279,2.42E-05
439.898,2.42E-05
440.268,2.42E-05
440.638,2.41E-05
441.008,2.41E-05
441.3779,2.40E-05
441.7478,2.40E-05
442.1177,2.40E-05
442.4875,2.39E-05
442.8572,2.39E-05
443.2269,2.39E-05
443.5966,2.39E-05
443.9662,2.39E-05
444.3358,2.39E-05
444.7054,2.38E-05
445.0749,2.38E-05
445.4443,2.38E-05
445.8138,2.38E-05
446.1831,2.37E-05
446.5525,2.37E-05
446.9218,2.37E-05
447.291,2.36E-05
447.6602,2.36E-05
448.0294,2.35E-05
448.3985,2.35E-05
448.7676,2.34E-05
449.1366,2.33E-05
449.5056,2.33E-05
449.8746,2.32E-05
450.2435,2.31E-05
450.6123,2.31E-05
450.9812,2.30E-05
451.3499,2.29E-05
451.7187,2.29E-05
452.0874,2.27E-05
452.456,2.26E-05
452.8246,2.26E-05
453.1932,2.25E-05
453.5617,2.24E-05
453.9302,2.24E-05
454.2987,2.23E-05
454.6671,2.22E-05
455.0354,2.22E-05
455.4037,2.21E-05
455.772,2.20E-05
456.1402,2.20E-05
456.5084,2.19E-05
456.8766,2.18E-05
457.2447,2.17E-05
457.6127,2.17E-05
457.9807,2.16E-05
458.3487,2.16E-05
458.7166,2.15E-05
459.0845,2.14E-05
459.4524,2.13E-05
459.8202,2.13E-05
460.1879,2.12E-05
460.5556,2.12E-05
460.9233,2.11E-05
461.2909,2.11E-05
461.6585,2.10E-05
