Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10191,-11.968924302788842
-0.081937,-11.970717131474103
-0.061833,-11.965936254980079
-0.041781,-11.971513944223107
-0.021639,-11.979482071713148
-0.0015287,-11.972509960159362
0.018615,-11.976892430278884
0.038347,-11.960956175298806
0.058458,-11.956374501992032
0.078412,-11.965139442231076
0.098553,-11.961553784860556
0.11856,-11.955776892430277
0.13862,-11.967529880478088
0.15866,-11.96175298804781
0.17871,-11.956374501992032
0.19881,-11.951792828685258
0.21853,-11.96434262948207
0.23863,-11.956972111553785
0.25862,-11.946414342629483
0.27875,-11.931274900398405
0.29875,-11.926294820717132
0.31892,-11.906972111553785
0.33888,-11.875298804780876
0.35903,-11.792828685258963
0.37904,-11.628884462151392
0.39871,-11.351195219123507
0.41875,-10.88207171314741
0.43884,-10.181474103585655
0.45884,-9.223904382470119
0.47893,-8.009561752988049
0.49899,-6.542828685258963
0.51902,-4.814342629482072
0.53903,-2.8464143426294823
0.55904,-0.6076294820717131
0.57878,1.92
0.59876,4.853784860557769
,
Sweep Time (s),Voltage Rate (V/s)
1.172304391860962,0.5971145419738576
